side,decade,row,col
Shelf,1930s,0,0
Shelf,1930s,0,1
Shelf,1930s,0,2
Shelf,1930s,0,3
Shelf,1940s,0,4
Shelf,1940s,0,5
Shelf,1940s,0,6
Shelf,1950s,0,7
Shelf,1950s,0,8
Shelf,1950s,0,9
Shelf,1950s,1,0
Shelf,1950s,1,1
Shelf,1950s,1,2
Shelf,1950s,1,3
Shelf,1950s,1,4
Shelf,1950s,1,5
Shelf,1950s,1,6
Shelf,1950s,1,7
Shelf,1950s,1,8
Shelf,1960s,1,9
Shelf,1960s,2,0
Shelf,1960s,2,1
Shelf,1960s,2,2
Shelf,1960s,2,3
Shelf,1960s,2,4
Shelf,1960s,2,5
Shelf,1960s,2,6
Shelf,1960s,2,7
Shelf,1960s,2,8
Shelf,1960s,2,9
Shelf,1960s,3,0
Shelf,1960s,3,1
Shelf,1960s,3,2
Shelf,1960s,3,3
Shelf,1960s,3,4
Shelf,1960s,3,5
Shelf,1960s,3,6
Shelf,1960s,3,7
Shelf,1960s,3,8
Shelf,1960s,3,9
Shelf,1960s,4,0
Shelf,1960s,4,1
Shelf,1960s,4,2
Shelf,1970s,4,3
Shelf,1970s,4,4
Shelf,1970s,4,5
Shelf,1970s,4,6
Shelf,1970s,4,7
Shelf,1970s,4,8
Shelf,1970s,4,9
Shelf,1970s,5,0
Shelf,1970s,5,1
Shelf,1970s,5,2
Shelf,1970s,5,3
Shelf,1970s,5,4
Shelf,1970s,5,5
Shelf,1970s,5,6
Shelf,1970s,5,7
Shelf,1970s,5,8
Shelf,1970s,5,9
Shelf,1970s,6,0
Shelf,1980s,6,1
Shelf,1980s,6,2
Shelf,1980s,6,3
Shelf,1980s,6,4
Shelf,1980s,6,5
Shelf,1980s,6,6
Shelf,1980s,6,7
Shelf,1980s,6,8
Shelf,1990s,6,9
Shelf,1990s,7,0
Shelf,1990s,7,1
Shelf,1990s,7,2
Shelf,1990s,7,3
Shelf,1990s,7,4
Shelf,1990s,7,5
Shelf,1990s,7,6
Shelf,1990s,7,7
Shelf,1990s,7,8
Shelf,2000s,7,9
Shelf,2000s,8,0
Shelf,2000s,8,1
Shelf,2000s,8,2
Shelf,2000s,8,3
Shelf,2010s,8,4
Shelf,2010s,8,5
Shelf,2010s,8,6
Shelf,2010s,8,7
Shelf,2010s,8,8
Shelf,2010s,8,9
Shelf,2010s,9,0
Shelf,2010s,9,1
Shelf,2010s,9,2
Shelf,2010s,9,3
Shelf,2010s,9,4
Shelf,2020s,9,5
Shelf,2020s,9,6
Shelf,2020s,9,7
Shelf,2020s,9,8
Shelf,2020s,9,9
Road,1970s,0,0
Road,1980s,0,1
Road,1990s,0,2
Road,1990s,0,3
Road,1990s,0,4
Road,2000s,0,5
Road,2000s,0,6
Road,2000s,0,7
Road,2000s,0,8
Road,2000s,0,9
Road,2000s,1,0
Road,2000s,1,1
Road,2000s,1,2
Road,2000s,1,3
Road,2000s,1,4
Road,2000s,1,5
Road,2000s,1,6
Road,2000s,1,7
Road,2000s,1,8
Road,2000s,1,9
Road,2000s,2,0
Road,2000s,2,1
Road,2000s,2,2
Road,2000s,2,3
Road,2000s,2,4
Road,2000s,2,5
Road,2000s,2,6
Road,2010s,2,7
Road,2010s,2,8
Road,2010s,2,9
Road,2010s,3,0
Road,2010s,3,1
Road,2010s,3,2
Road,2010s,3,3
Road,2010s,3,4
Road,2010s,3,5
Road,2010s,3,6
Road,2010s,3,7
Road,2010s,3,8
Road,2010s,3,9
Road,2010s,4,0
Road,2010s,4,1
Road,2010s,4,2
Road,2010s,4,3
Road,2010s,4,4
Road,2010s,4,5
Road,2010s,4,6
Road,2010s,4,7
Road,2010s,4,8
Road,2010s,4,9
Road,2010s,5,0
Road,2010s,5,1
Road,2010s,5,2
Road,2010s,5,3
Road,2010s,5,4
Road,2010s,5,5
Road,2010s,5,6
Road,2010s,5,7
Road,2010s,5,8
Road,2010s,5,9
Road,2010s,6,0
Road,2010s,6,1
Road,2010s,6,2
Road,2010s,6,3
Road,2010s,6,4
Road,2010s,6,5
Road,2010s,6,6
Road,2010s,6,7
Road,2010s,6,8
Road,2010s,6,9
Road,2010s,7,0
Road,2010s,7,1
Road,2010s,7,2
Road,2010s,7,3
Road,2010s,7,4
Road,2010s,7,5
Road,2020s,7,6
Road,2020s,7,7
Road,2020s,7,8
Road,2020s,7,9
Road,2020s,8,0
Road,2020s,8,1
Road,2020s,8,2
Road,2020s,8,3
Road,2020s,8,4
Road,2020s,8,5
Road,2020s,8,6
Road,2020s,8,7
Road,2020s,8,8
Road,2020s,8,9
Road,2020s,9,0
Road,2020s,9,1
Road,2020s,9,2
Road,2020s,9,3
Road,2020s,9,4
Road,2020s,9,5
Road,2020s,9,6
Road,2020s,9,7
Road,2020s,9,8
Road,2020s,9,9
