"year_of_manufacture","vehicle_type","motive_power","no_vehicles"
"1901","Passenger vehicles","Petrol",5
"1902","Passenger vehicles","Petrol",0
"1903","Passenger vehicles","Petrol",9
"1904","Passenger vehicles","Petrol",15
"1905","Passenger vehicles","Petrol",10
"1906","Passenger vehicles","Petrol",18
"1907","Passenger vehicles","Petrol",15
"1908","Passenger vehicles","Petrol",22
"1909","Passenger vehicles","Petrol",28
"1910","Passenger vehicles","Petrol",47
"1911","Passenger vehicles","Petrol",49
"1912","Passenger vehicles","Petrol",59
"1913","Passenger vehicles","Petrol",64
"1914","Passenger vehicles","Petrol",53
"1915","Passenger vehicles","Petrol",75
"1916","Passenger vehicles","Petrol",37
"1917","Passenger vehicles","Petrol",38
"1918","Passenger vehicles","Petrol",31
"1919","Passenger vehicles","Petrol",15
"1920","Passenger vehicles","Petrol",21
"1921","Passenger vehicles","Petrol",20
"1922","Passenger vehicles","Petrol",58
"1923","Passenger vehicles","Petrol",407
"1924","Passenger vehicles","Petrol",205
"1925","Passenger vehicles","Petrol",285
"1926","Passenger vehicles","Petrol",398
"1927","Passenger vehicles","Petrol",563
"1928","Passenger vehicles","Petrol",1281
"1929","Passenger vehicles","Petrol",946
"1930","Passenger vehicles","Petrol",586
"1931","Passenger vehicles","Petrol",227
"1932","Passenger vehicles","Petrol",1064
"1933","Passenger vehicles","Petrol",310
"1934","Passenger vehicles","Petrol",1122
"1935","Passenger vehicles","Petrol",446
"1936","Passenger vehicles","Petrol",509
"1937","Passenger vehicles","Petrol",536
"1938","Passenger vehicles","Petrol",483
"1939","Passenger vehicles","Petrol",465
"1940","Passenger vehicles","Petrol",260
"1941","Passenger vehicles","Petrol",108
"1942","Passenger vehicles","Petrol",225
"1943","Passenger vehicles","Petrol",116
"1944","Passenger vehicles","Petrol",136
"1945","Passenger vehicles","Petrol",39
"1946","Passenger vehicles","Petrol",337
"1947","Passenger vehicles","Petrol",433
"1948","Passenger vehicles","Petrol",864
