registered_postcode,mean_age,total_vehicles
0800,7.95,5259
0810,10.99,17940
0812,11.58,8799
0820,8.73,15677
0822,13.72,3262
0828,8.9,2074
0829,10.33,892
0830,11.26,8373
0832,9.77,9487
0834,12.83,955
0835,12.72,1672
0836,13.42,4113
0837,13.73,229
0838,12.64,427
0839,11.01,244
0840,15.75,261
0841,14.5,324
0845,15.26,218
0846,12.51,154
0850,12.55,3456
0852,12.98,589
0853,10.09,378
0854,11.24,120
0860,11.29,812
0870,12.96,10441
0872,13.69,1002
0873,15.34,915
0874,11.55,271
0875,13.67,902
0880,13.92,1177
0885,14.12,312
0886,12.07,297
2000,4.86,31705
2007,9.74,2131
2008,10.49,2324
2009,9.75,5535
2010,10.23,9567
2011,10.52,7042
2015,7.22,9428
2016,10.58,5124
2017,8.49,11185
2018,10.39,8747
2019,9.87,8541
2020,4.91,25778
2021,9.67,7118
2022,9.63,6382
2023,8.72,5871
2024,10.14,5465
2025,9.4,3850
2026,10.35,14581
2027,9.83,4533
2028,8.55,2855
2029,9.01,5532
2030,8.65,8874
2031,10.46,15618
2032,11.36,5814
2033,10.44,4793
2034,10.65,9855
2035,10.86,17853
2036,10.9,17951
2037,10.03,7412
2038,10.34,4633
2039,9.68,5183
2040,9.85,12273
2041,9.79,8345
2042,11.45,6949
2043,10.12,3689
2044,10.77,4706
2045,10.51,3884
2046,9.9,16747
2047,9.74,6971
2048,11.14,3528
2049,10.55,6064
2050,9.57,3644
2060,8.58,9488
2061,9.39,3097
2062,9.74,3954
2063,9.46,3835
2064,7.41,7533
2065,7.89,21580
2066,9.56,19484
2067,8.63,14678
2068,9.52,10116
2069,9.31,8643
2070,9.2,8615
2071,9.3,8132
2072,9.0,5103
2073,8.59,12503
2074,9.74,14478
2075,9.45,13529
2076,10.11,14916
2077,10.45,22220
2079,11.22,4875
2080,11.2,1186
2081,11.02,3332
2082,11.35,3283
2083,12.97,953
2084,11.71,2604
2085,10.42,7654
2086,10.51,9015
2087,10.88,7898
2088,9.36,17464
2089,9.69,6107
2090,9.91,7507
2092,9.72,4443
2093,10.32,13653
2094,10.41,3369
2095,10.26,8538
2096,10.44,8236
2097,10.54,9268
2099,10.77,23869
2100,10.18,14865
2101,11.19,11829
2102,10.17,5312
2103,10.46,7204
2104,11.06,2643
2105,11.91,1283
2106,10.9,6322
2107,11.08,10123
2108,11.68,1354
2110,9.7,6004
2111,9.85,9635
2112,9.89,20880
2113,7.43,21000
2114,10.18,13779
2115,10.35,7048
2116,8.45,6123
2117,10.36,12290
2118,10.02,15879
2119,9.98,7415
2120,9.97,13388
2121,9.65,18024
2122,10.48,16689
2125,9.83,10736
2126,9.57,11349
2127,8.05,13823
2128,8.59,3006
2129,7.05,119
2130,11.06,3434
2131,11.21,9928
2132,10.99,5686
2133,11.09,5960
2134,9.54,7818
2135,10.19,12222
2136,10.37,5190
2137,8.88,18457
2138,8.86,9819
2140,9.39,11149
2141,10.39,18895
2142,11.43,15821
2143,11.57,5672
2144,11.63,20462
2145,10.79,45867
2146,11.37,10317
2147,11.66,21839
2148,11.48,39430
2150,9.04,18769
2151,10.5,12330
2152,10.62,6658
2153,9.58,39599
2154,9.49,26633
2155,9.02,46144
2156,11.26,9418
2157,11.99,2670
2158,10.64,6200
2159,12.21,3556
2160,11.64,20778
2161,12.23,19219
2162,12.27,10951
2163,12.83,5901
2164,11.33,15571
2165,12.67,23517
2166,12.27,29481
2167,10.76,5397
2168,12.48,23531
2170,10.65,71301
2171,10.65,23230
2172,10.36,1549
2173,10.44,7757
2174,9.12,7770
2175,12.06,1047
2176,11.82,28685
2177,12.1,9506
2178,12.62,2247
2179,9.8,15733
2190,10.75,17296
2191,11.2,3213
2192,11.75,7771
2193,11.41,9398
2194,11.79,11938
2195,12.62,12829
2196,11.93,18785
2197,11.79,5490
2198,11.51,5376
2199,12.03,10555
2200,11.47,26510
2203,11.08,6840
2204,11.3,13188
2205,10.38,11721
2206,11.6,11067
2207,11.34,15385
2208,11.16,7843
2209,11.56,8879
2210,11.25,19006
2211,10.87,10776
2212,10.89,10185
2213,11.13,13582
2214,10.82,2804
2216,11.37,14440
2217,10.67,15449
2218,11.66,8140
2219,10.83,8275
2220,10.2,16573
2221,10.73,10471
2222,11.18,6120
2223,10.7,12124
2224,10.81,9486
2225,10.67,3356
2226,11.14,7380
2227,10.45,8878
2228,10.59,12379
2229,9.18,22556
2230,10.31,18774
2231,12.96,1472
2232,10.3,22432
2233,11.09,17887
2234,10.32,19973
2250,10.95,46633
2251,11.12,21154
2256,12.12,9098
2257,11.8,17737
2258,11.92,3449
2259,11.45,41708
2260,10.37,16146
2261,11.49,32807
2262,12.44,12630
2263,12.62,14405
2264,12.45,10408
2265,11.76,5239
2267,12.34,1950
2278,13.5,1541
2280,11.45,16748
2281,11.41,9530
2282,10.73,10793
2283,12.18,15399
2284,11.39,8261
2285,11.14,22591
2286,12.25,2873
2287,11.36,24915
2289,11.01,12222
2290,11.08,21592
2291,10.18,8594
2292,10.16,2476
2293,10.22,2502
2294,11.27,1296
2295,11.18,4659
2296,10.98,1385
2297,12.22,1225
2298,11.83,5418
2299,12.02,6989
2300,9.77,8350
2302,8.4,1019
2303,10.21,6510
2304,11.58,9789
2305,10.3,9098
2306,15.15,1494
2307,12.45,2753
2308,7.79,177
2311,14.51,552
2312,14.7,955
2315,11.29,9848
2316,11.84,4335
2317,11.65,4391
2318,11.84,9213
2319,12.98,4215
2320,10.85,25221
2321,11.0,13552
2322,11.06,16438
2323,11.64,16134
2324,12.41,15557
2325,12.53,17903
2326,13.03,4527
2327,13.37,4587
2328,11.14,1267
2329,12.87,1026
2330,11.51,12654
2333,11.54,8568
2334,11.82,2049
2335,10.84,5877
2336,11.86,1353
2337,11.67,4499
2338,13.31,742
2339,12.94,394
2340,11.55,30093
2341,15.53,778
2342,12.11,276
2343,12.96,2478
2344,13.73,371
2345,16.28,359
2346,13.19,1477
2347,13.74,885
2350,12.53,14330
2352,13.04,1499
2353,14.96,624
2354,12.2,1725
2355,14.49,376
2357,13.47,2030
2358,13.35,2006
2359,16.05,330
2360,13.02,7268
2361,15.51,403
2365,13.23,1856
2369,18.15,417
2370,14.13,3961
2371,13.99,565
2372,13.55,2456
2379,11.48,131
2380,11.61,5424
2381,13.59,613
2382,13.08,710
2386,11.12,135
2387,12.99,112
2388,11.74,1095
2390,11.58,4024
2395,16.22,336
2396,13.62,398
2397,11.63,155
2398,10.06,137
2399,13.33,248
2400,11.39,4185
2401,13.82,114
2402,13.49,841
2403,13.59,290
2404,13.24,902
2405,11.99,182
2406,12.56,331
2409,14.47,165
2410,11.73,100
2415,14.63,233
2420,13.21,2273
2421,12.69,1179
2422,13.7,3278
2423,14.68,2005
2424,17.2,309
2425,13.25,1153
2426,13.43,460
2427,11.93,2479
2428,12.31,16110
2429,14.19,5877
2430,12.55,23029
2431,12.11,3703
2439,12.6,2595
2440,14.31,12818
2441,14.66,2950
2443,12.79,5664
2444,10.98,32945
2445,10.92,5062
2446,13.18,9102
2447,13.41,4875
2448,13.19,5797
2449,15.11,1326
2450,12.0,29141
2452,12.38,8628
2453,14.61,1581
2454,14.17,4874
2455,13.53,1950
2456,12.6,10169
2460,14.03,17157
2462,14.86,1388
2463,12.91,4742
2464,11.57,4176
2465,13.48,201
2466,13.44,1001
2469,14.77,2203
2470,13.14,8180
2471,14.13,1340
2472,13.83,1054
2473,11.89,2000
2474,14.03,3397
2475,14.45,186
2476,12.68,328
2477,11.99,7641
2478,11.38,19904
2479,12.57,3704
2480,12.73,27968
2481,12.91,9343
2482,14.45,4992
2483,13.3,7318
2484,13.84,11274
2485,11.35,7646
2486,11.38,18139
2487,10.55,8141
2488,11.78,1693
