registered_postcode,mean_age,total_vehicles,lon,lat
0800,7.95,5259,130.8451,-12.4614
0810,10.99,17940,130.8782,-12.3691
0812,11.58,8799,130.9143,-12.3736
0820,8.73,15677,130.8685,-12.4237
0822,13.72,3262,132.8975,-13.0968
0828,8.9,2074,130.9393,-12.4271
0829,10.33,892,131.0024,-12.4487
0830,11.26,8373,131.0492,-12.37
0832,9.77,9487,130.9969,-12.5135
0834,12.83,955,131.0235,-12.5426
0835,12.72,1672,131.0613,-12.4713
0836,13.42,4113,131.1303,-12.5612
0837,13.73,229,131.1808,-12.8112
0838,12.64,427,131.0057,-12.7199
0839,11.01,244,131.0427,-12.5232
0840,15.75,261,130.4431,-12.7318
0841,14.5,324,130.9699,-12.8193
0845,15.26,218,131.0569,-13.0928
0846,12.51,154,131.1556,-13.1675
0850,12.55,3456,132.2702,-14.4415
0852,12.98,589,132.8035,-16.8269
0853,10.09,378,132.3781,-14.5314
0854,11.24,120,136.3109,-16.0701
0860,11.29,812,134.1873,-19.6556
0870,12.96,10441,133.8774,-23.692
0872,13.69,1002,131.2462,-23.6777
0873,15.34,915,133.8558,-23.7753
0874,11.55,271,133.8885,-23.671
0875,13.67,902,133.8316,-23.6958
0880,13.92,1177,136.7681,-12.1986
0885,14.12,312,136.4195,-13.851
0886,12.07,297,132.8364,-12.6685
2000,4.86,31705,151.2071,-33.8742
2007,9.74,2131,151.1977,-33.8801
2008,10.49,2324,151.1968,-33.8883
2009,9.75,5535,151.1958,-33.8729
2010,10.23,9567,151.2162,-33.883
2011,10.52,7042,151.2225,-33.8723
2015,7.22,9428,151.1916,-33.9076
2016,10.58,5124,151.2072,-33.8933
2017,8.49,11185,151.2075,-33.9033
2018,10.39,8747,151.2075,-33.9225
2019,9.87,8541,151.2086,-33.9518
2020,4.91,25778,151.1822,-33.9366
2021,9.67,7118,151.229,-33.8934
2022,9.63,6382,151.2498,-33.896
2023,8.72,5871,151.2557,-33.8813
2024,10.14,5465,151.2633,-33.9036
2025,9.4,3850,151.2444,-33.8864
2026,10.35,14581,151.271,-33.89
2027,9.83,4533,151.2367,-33.8773
2028,8.55,2855,151.2452,-33.8775
2029,9.01,5532,151.266,-33.8738
2030,8.65,8874,151.2773,-33.8753
2031,10.46,15618,151.2466,-33.9159
2032,11.36,5814,151.2293,-33.9257
